LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION TYPE,REGION NAME,HOMES SOLD,HOMES SOLD YOY ,MEDIAN SALE PRICE ,MEDIAN SALE PRICE YOY ,MEDIAN DAYS ON MARKET _DAYS_,MEDIAN DAYS ON MARKET YOY ,NEW LISTINGS,NEW LISTINGS YOY ,ACTIVE LISTINGS,ACTIVE LISTINGS YOY ,PENDING SALES,PENDING SALES YOY 
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Algonquin, IL",100,20.48,407495,-0.61,75,750,117,0.86,206,11.96,132,29.41
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Hoffman Estates, IL",107,40.79,394700,8.14,57,1400,141,1.44,223,18.62,146,23.73
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Oak Park, IL",108,-16.92,367500,-5.77,51,-450,179,-2.72,252,-5.62,177,-4.84
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Hoopeston, IL",11,-50,72000,-23.4,38,-1100,22,15.79,35,-2.78,15,-37.5
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Streamwood, IL",112,14.29,321500,5.07,50,-500,144,7.46,208,0,153,28.57
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Des Plaines, IL",112,-7.44,365000,1.39,61,1550,166,-12.17,268,-3.25,157,-6.55
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Quincy, IL",116,-4.92,177500,18.33,51,-200,159,15.22,271,8.84,151,4.86
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Huntley, IL",116,-5.69,407500,-0.61,71,250,173,15.33,261,-3.33,164,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Pekin, IL",120,34.83,125000,0,37,250,99,1.02,168,12.75,137,41.24
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Oak Lawn, IL",124,-12.68,288500,5.87,73,200,185,4.52,328,1.23,174,-2.25
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Lombard, IL",127,62.82,362000,4.7,46,-450,159,11.97,251,14.61,160,10.34
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Downers Grove, IL",128,9.4,525000,18.91,57,50,168,9.8,261,12.5,175,11.46
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Riverside, IL",13,-13.33,500000,-19.68,54,-2600,38,15.15,47,-9.62,29,-3.33
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Metropolis, IL",13,-31.58,126000,117.24,88,100,25,-19.35,57,5.56,18,-25
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Bolingbrook, IL",135,12.5,375000,6.84,57,300,197,13.87,305,10.91,198,8.2
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Lyons, IL",14,180,286500,-1.21,43,-2600,37,23.33,49,13.95,25,19.05
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Willow Springs, IL",14,-12.5,385000,3.36,76,-850,20,5.26,27,-27.03,19,-9.52
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Orland Hills, IL",14,55.56,317000,7.09,49,-6150,22,69.23,30,42.86,23,130
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Kildeer, IL",14,-22.22,853682,-3.27,101,3000,23,-8,42,10.53,18,-14.29
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Arlington Heights, IL",144,-20.44,490000,7.22,44,-650,248,-2.36,332,-7.78,229,0.44
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Evanston, IL",145,10.69,437000,-1.8,49,400,246,28.13,345,19.79,234,31.46
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Champaign, IL",147,-3.92,225000,-0.44,61,1250,256,20.19,405,25.78,218,0.93
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Orland Park, IL",149,7.97,364500,5.27,53,-2100,192,-11.52,325,-11.92,182,-10.78
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Schiller Park, IL",15,-34.78,315000,15.38,42,-700,31,-6.06,48,-2.04,37,23.33
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Rock Falls, IL",15,-34.78,100000,-22.48,42,-500,28,7.69,42,0,24,-11.11
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Lynwood, IL",15,66.67,236500,-22.96,81,800,25,-10.71,50,-18.03,26,-3.7
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Belleville, IL",150,15.38,144834,-9.48,41,-800,199,6.99,356,11.6,206,0.49
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Palatine, IL",152,-14.61,325500,-5.65,53,0,214,-4.89,329,-2.08,197,-11.26
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Tinley Park, IL",153,-1.29,327000,0.62,49,-1200,231,3.59,351,-4.1,221,0.45
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Plainfield, IL",158,12.86,479995,0,94,2300,224,6.16,392,12.32,209,13.59
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Oak Brook, IL",16,0,965000,-41.56,79,-1950,28,-28.21,45,-28.57,20,-9.09
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Lake Villa, IL",16,33.33,422450,-0.01,37,-5600,25,31.58,32,3.23,24,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Schaumburg, IL",167,-8.74,302000,-3.82,53,-750,239,8.14,350,-0.85,236,7.27
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Jerseyville, IL",17,-43.33,149000,11.36,110,7400,23,-28.13,53,0,28,-26.32
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Lake Barrington, IL",18,-10,445000,7.88,78,500,28,-12.5,43,-4.44,24,-14.29
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"East Alton, IL",18,12.5,90000,4.65,50,1400,22,22.22,41,64,28,33.33
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Wood River, IL",18,-52.63,144667,26.62,32,-300,29,-32.56,43,-27.12,29,-35.56
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Rochelle, IL",18,-10,166500,-9.24,46,700,22,22.22,32,0,23,9.52
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Bloomington, IL",186,11.38,252500,16.09,56,950,243,-3.19,381,8.55,250,6.38
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Johnsburg, IL",19,-5,399000,1.66,54,650,35,0,52,6.12,28,-9.68
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Round Lake Park, IL",19,-20.83,220000,31.74,66,500,31,34.78,55,22.22,34,3.03
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Elgin, IL",191,-15.86,315000,-3.08,60,-400,312,6.85,470,-8.56,297,-3.26
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Decatur, IL",191,-2.05,100500,-6.94,35,500,239,-0.42,426,13.6,253,-2.69
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Marengo, IL",20,-37.5,328975,17.28,50,-1000,25,-32.43,43,-36.76,24,-42.86
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"West Dundee, IL",20,42.86,392245,9.72,69,300,27,68.75,44,76,32,77.78
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Harrisburg, IL",21,16.67,90000,25.17,66,-3400,23,21.05,55,41.03,30,36.36
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Sauk Village, IL",21,-38.24,135000,-3.57,64,1450,23,-36.11,66,-7.04,29,-9.38
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Goodings Grove, IL",21,-50,447000,-3.34,67,700,37,-28.85,63,-24.1,37,-24.49
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Mahomet, IL",21,-8.7,389900,-7.17,71,-800,51,18.6,81,24.62,31,-6.06
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Glenwood, IL",22,37.5,189250,-22.28,99,4500,46,31.43,85,30.77,33,26.92
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Monticello, IL",22,4.76,207950,-7.58,54,250,23,21.05,46,31.43,28,16.67
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Lincolnshire, IL",22,22.22,656000,13.59,66,-200,35,-16.67,55,0,27,-10
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Campton Hills, IL",22,4.76,741000,-7.37,56,1250,34,-5.56,49,-14.04,32,3.23
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"South Beloit, IL",22,22.22,249500,34.86,16,-850,29,61.11,38,15.15,27,28.57
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Blue Island, IL",23,-20.69,176000,0.57,113,-400,40,29.03,81,12.5,32,-21.95
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Broadview, IL",23,43.75,297500,4.94,67,-2150,20,81.82,38,40.74,26,44.44
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Beach Park, IL",23,-4.17,320000,19.63,59,-200,25,-10.71,42,-19.23,31,-3.13
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Mascoutah, IL",24,-17.24,270000,0,51,1050,40,73.91,58,26.09,33,-2.94
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Steger, IL",24,0,168750,0.75,82,1100,39,50,77,28.33,39,39.29
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Hickory Hills, IL",25,0,350000,14.75,46,-2000,48,14.29,67,3.08,35,0
