LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION TYPE,REGION NAME,HOMES SOLD,HOMES SOLD YOY ,MEDIAN SALE PRICE ,MEDIAN SALE PRICE YOY ,MEDIAN DAYS ON MARKET _DAYS_,MEDIAN DAYS ON MARKET YOY ,NEW LISTINGS,NEW LISTINGS YOY ,ACTIVE LISTINGS,ACTIVE LISTINGS YOY ,PENDING SALES,PENDING SALES YOY 
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Bloomingdale, IL",41,-6.82,368000,4.4,71,2000,61,-10.29,94,-7.84,65,3.17
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Bartlett, IL",78,-16.13,400000,0,74,1050,134,11.67,203,-0.98,119,-7.75
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Lincolnwood, IL",21,-12.5,420000,-19.23,77,1200,33,37.5,56,16.67,34,88.89
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Glencoe, IL",28,-9.68,1980000,48.31,52,-1300,41,36.67,60,11.11,34,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Oak Park, IL",108,-16.92,367500,-5.77,51,-450,179,-2.72,252,-5.62,177,-4.84
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Elmwood Park, IL",57,0,360000,24.14,66,700,91,2.25,151,0.67,81,-5.81
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"La Grange, IL",29,-21.62,650000,49.43,53,900,53,-1.85,72,0,47,6.82
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Palos Heights, IL",33,3.13,328500,-11.22,54,-3150,58,20.83,84,-8.7,50,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Wayne City, IL",NA,NA,NA,NA,NA,NA,1,0,2,-33.33,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Brookfield, IL",37,-22.92,420500,18.12,43,-1300,52,8.33,78,-7.14,50,-13.79
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Prospect Heights, IL",38,22.58,361500,16.61,66,1100,54,17.39,85,30.77,60,27.66
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Palos Hills, IL",43,16.22,265000,-1.85,83,2600,64,-4.48,115,5.5,66,10
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Addison, IL",49,22.5,380500,9.42,49,-550,74,0,114,9.62,76,20.63
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Hanover Park, IL",60,-4.76,344000,18.62,42,-100,100,23.46,139,25.23,99,32
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Villa Park, IL",30,-14.29,372500,4.93,60,500,45,0,66,-5.71,53,15.22
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Carol Stream, IL",46,-37.84,370000,5.71,49,800,94,0,138,0,82,-18
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Robbins, IL",5,-61.54,115000,-19.86,73,-2700,9,-18.18,18,-25,8,-20
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Aurora, IL",295,-1.01,320000,1.99,49,200,526,28.29,776,22.01,474,18.8
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Aurora, IL",295,-1.01,320000,1.99,49,200,526,28.29,776,22.01,474,18.8
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Maywood, IL",41,-16.33,310000,24,70,-2200,62,6.9,128,2.4,58,-15.94
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Chicago, IL",4601,-9.34,390000,5.41,62,-400,7675,-6.55,12559,-9.38,7069,0.11
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Arlington Heights, IL",144,-20.44,490000,7.22,44,-650,248,-2.36,332,-7.78,229,0.44
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Schaumburg, IL",167,-8.74,302000,-3.82,53,-750,239,8.14,350,-0.85,236,7.27
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"South Holland, IL",58,-12.12,229000,-0.65,100,1200,90,-4.26,215,6.44,88,-10.2
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Big Rock, IL",3,50,395000,36.92,59,1200,3,0,5,66.67,3,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"South Chicago Heights, IL",5,25,148000,-9.2,44,-5300,7,-30,13,-23.53,4,-55.56
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"South Chicago Heights, IL",5,25,148000,-9.2,44,-5300,7,-30,13,-23.53,4,-55.56
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"South Elgin, IL",51,34.21,350000,24.11,44,-600,76,35.71,118,40.48,74,27.59
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"South Elgin, IL",51,34.21,350000,24.11,44,-600,76,35.71,118,40.48,74,27.59
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Oak Brook, IL",16,0,965000,-41.56,79,-1950,28,-28.21,45,-28.57,20,-9.09
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Alsip, IL",37,-15.91,259900,3.96,62,550,47,-22.95,85,-14.14,50,-16.67
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Wilmette, IL",59,-28.05,950000,-4.76,36,-650,106,-10.92,135,-18.67,104,-6.31
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Waynesville, IL",2,NA,85500,NA,7,NA,3,200,3,200,3,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Sugar Grove, IL",20,-25.93,431000,-5.69,73,2500,41,2.5,60,15.38,42,23.53
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Calumet City, IL",68,-6.85,180500,1.12,109,-350,135,-6.25,300,-0.66,118,5.36
